Nombre,Apellidos,DNI,Teléfono,Vehículo,Multas Radar,Multas ITV,Multas Estupefacientes
enrique,canet,78398697S,(49)646-550448,7352RJS,36,108,279
quirino,riera borja,57064134X,(39)659-353843,5730ABK,260,268,9
maribel,vergara-jurado,26244413Y,(30)652-619590,1347ARV,103,99,157
galo,landa manzanares,85851460M,(44)676-685302,4277PGZ,186,133,179
yésica,guardia bernad,53209991E,(33)675-816899,2952DEM,183,143,29
faustino,morillo,75542324P,(34)603-184461,5584QNZ,207,188,226
toni,salazar,07413774Z,(39)699-661630,1185XTN,201,207,239
salomé,ibañez-gómez,62133877B,(351)615-170532,7647ENK,228,119,229
felix,cámara cid,16452554F,(44)620-555623,3038OPS,17,292,28
ciriaco adán,jiménez,21406979D,(30)672-502563,7138SOM,23,56,43
ildefonso jaume,alcalá,84631347J,(7)652-446130,1544SCO,286,122,91
adelina,teruel gálvez,86502064K,(39)626-457955,3318RTQ,194,107,165
amado,benavente-riba,80217299SX,(7)694-339266,3460LXI,49,220,106
hernando,amores,85221492C,(41)625-257591,4222ZOD,159,295,190
paulina,anglada cervera,27263550R,(49)603-605773,5174APN,62,230,178
baltasar,guzman-rozas,05877725T,(41)643-862432,2639WND,264,220,62
natalia aroa,palomares blasco,66175677Y,(34)675-420541,3404BCV,152,165,85
fermín,gomis ayllón,20318104U,(30)614-258964,9551IRM,163,179,4
anna,sierra carbonell,84578084I,(30)675-082463,1842DHQ,163,193,177
eva maría,cepeda fuentes,16684066G,(39)627-543686,8107LSN,294,38,27
remigio isidro,roldán leal,24578943P,(44)668-956378,8501EIW,208,34,283
úrsula,lluch,50075685A,(380)648-778701,6891MCG,42,231,138
manuel,estrada,49207871S,(49)681-364330,5758NSA,287,262,127
amílcar,teruel,82190722D,(30)634-478679,1350PTB,53,55,38
ana sofía,corral llorens,85310497F,(41)668-873465,6130XNW,229,162,175
josé,tolosa maestre,50933502G,(33)681-415423,1989ZLS,245,201,28
cayetana,nadal crespi,88467939H,(7)639-800393,6349PEC,174,234,9
cristian,ruiz arco,76705269J,(351)633-433215,6804UQN,120,81,260
rafael,alfonso-lloret,19130746K,(351)610-228710,8527PVS,186,241,1
íngrid,lloret cifuentes,34087087L,(380)668-504691,8986ADN,288,21,54
chus,del prada,15447441Z,(33)674-077964,6441DNA,276,71,287
sara,badía almeida,10533261X,(7)697-437607,3882YXN,269,283,245
pío,ojeda garriga,95554415C,(41)656-074123,7147QMX,268,236,273
remedios,zapata,30617495V,(33)6950-321689,7548EOS,256,14,279
iris,saez,76418019B,(39)645-178841,1036OSB,152,140,190
esteban,luna,14252299N,(33)607-018491,2898VLC,225,113,282
maría fernanda,mercader roman,93499143M,(34)674-725699,4748SWP,276,25,83
socorro,espejo luz,89734192Q,(351)612-191513,4798ZSJ,93,242,157
dolores,seco castellanos,92154120W,(49)657-903461,1690WLD,128,93,187
cornelio,barreda verdú,25858885E,(380)610-474632,7710XJS,269,105,230
paola,garcía,15802707R,(34)600-230922,9767DUS,232,157,151
urbano,bello portero,25194358T,(380)689-873005,5269BLS,17,83,233
cruz,aguado hervás,03447074Y,(44)605-058434,8713OCN,238,2,237
severiano,garcia padilla,40857375U,(380)627-201772,1155QOS,48,263,232
ibán,larrañaga isern,63970932I,(30)668-045110,3522NXS,52,146,155
emilio,suarez,82912302O,(351)637-751651,1574LSN,261,32,232
aitana,cases osuna,71765240P,(44)601-588893,1977IDN,206,177,13
camilo,lasa-marcos,61576853A,(49)683-007480,7662KEH,88,270,130
herminio,lladó sedano,48882244S,(7)683-557230,4528HSN,253,123,93
susana,mariño cañellas,63651416D,(41)682-664468,8264ZQW,231,275,159
